,date,day_quarter,kwh
0,5/2015,3.0,619472.0
1,5/2015,3.0,619539.0
2,5/2015,3.0,619602.0
3,5/2015,3.0,619662.0
4,5/2015,3.0,619723.0
5,5/2015,3.0,619788.0
6,5/2015,3.0,619851.0
7,5/2015,3.0,619915.0
8,5/2015,3.0,619980.0
9,5/2015,3.0,620044.0
10,5/2015,3.0,620110.0
11,5/2015,3.0,620172.0
12,5/2015,3.0,620232.0
13,5/2015,3.0,620288.0
14,5/2015,3.0,620343.0
15,5/2015,,620396.0
16,5/2015,,620447.0
17,6/2015,1.0,620467.0
18,6/2015,1.0,620507.0
19,6/2015,1.0,620569.0
20,6/2015,1.0,620646.0
21,6/2015,1.0,620734.0
22,6/2015,1.0,620832.0
23,6/2015,1.0,620935.0
24,6/2015,1.0,621035.0
25,6/2015,1.0,621136.0
26,6/2015,1.0,621240.0
27,6/2015,1.0,621340.0
28,6/2015,1.0,621446.0
29,6/2015,1.0,621557.0
30,6/2015,1.0,621670.0
31,6/2015,1.0,621785.0
32,6/2015,1.0,621905.0
33,6/2015,1.0,622023.0
34,6/2015,1.0,622131.0
35,6/2015,1.0,622238.0
36,6/2015,1.0,622335.0
37,6/2015,1.0,622425.0
38,6/2015,2.0,622506.0
39,6/2015,2.0,622587.0
40,6/2015,2.0,622668.0
41,6/2015,2.0,622753.0
42,6/2015,2.0,622854.0
43,6/2015,2.0,622967.0
44,6/2015,2.0,623088.0
45,6/2015,2.0,623208.0
46,6/2015,2.0,623312.0
47,6/2015,2.0,623428.0
48,6/2015,2.0,623542.0
49,6/2015,2.0,623651.0
50,6/2015,2.0,623752.0
51,6/2015,2.0,623853.0
52,6/2015,2.0,623967.0
53,6/2015,2.0,624081.0
54,6/2015,2.0,624191.0
55,6/2015,3.0,624295.0
56,6/2015,3.0,624391.0
57,6/2015,3.0,624485.0
58,6/2015,3.0,624572.0
59,6/2015,3.0,624651.0
60,6/2015,3.0,624726.0
61,6/2015,3.0,624796.0
62,6/2015,3.0,624872.0
63,6/2015,3.0,624951.0
64,6/2015,3.0,625023.0
65,6/2015,3.0,625095.0
66,6/2015,3.0,625165.0
67,6/2015,3.0,625233.0
68,6/2015,3.0,625296.0
69,6/2015,3.0,625355.0
70,6/2015,3.0,625410.0
71,6/2015,3.0,625465.0
72,6/2015,3.0,625519.0
73,6/2015,,625571.0
74,6/2015,,625621.0
75,6/2015,1.0,625712.0
76,6/2015,1.0,625797.0
77,6/2015,1.0,625888.0
78,6/2015,1.0,625983.0
79,6/2015,1.0,626080.0
80,6/2015,1.0,626174.0
81,6/2015,1.0,626270.0
82,6/2015,1.0,626370.0
83,6/2015,1.0,626477.0
84,6/2015,1.0,626590.0
85,6/2015,1.0,626709.0
86,6/2015,1.0,626824.0
87,6/2015,1.0,626940.0
88,6/2015,1.0,627051.0
89,6/2015,1.0,627159.0
90,6/2015,1.0,627258.0
91,6/2015,1.0,627345.0
92,6/2015,1.0,627425.0
93,6/2015,2.0,627500.0
94,6/2015,2.0,627571.0
95,6/2015,2.0,627647.0
96,6/2015,2.0,627733.0
97,6/2015,2.0,627836.0
98,6/2015,2.0,627947.0
99,6/2015,2.0,628064.0
100,6/2015,2.0,628182.0
101,6/2015,2.0,628298.0
102,6/2015,2.0,628407.0
103,6/2015,2.0,628515.0
104,6/2015,2.0,628628.0
105,6/2015,2.0,628750.0
106,6/2015,2.0,628873.0
107,6/2015,2.0,628997.0
108,6/2015,2.0,629115.0
109,6/2015,2.0,629225.0
110,6/2015,3.0,629331.0
111,6/2015,3.0,629428.0
112,6/2015,3.0,629525.0
113,6/2015,3.0,629614.0
114,6/2015,3.0,629698.0
115,6/2015,3.0,629776.0
116,6/2015,1.0,629829.0
117,6/2015,1.0,629891.0
118,6/2015,1.0,629963.0
119,6/2015,1.0,630041.0
120,6/2015,1.0,630130.0
121,6/2015,1.0,630228.0
122,6/2015,1.0,630331.0
123,6/2015,1.0,630439.0
124,6/2015,1.0,630547.0
125,6/2015,1.0,630654.0
126,6/2015,1.0,630765.0
127,6/2015,1.0,630880.0
128,6/2015,1.0,630992.0
129,6/2015,1.0,631106.0
130,6/2015,1.0,631218.0
131,6/2015,1.0,631329.0
132,6/2015,1.0,631434.0
133,6/2015,1.0,631537.0
134,6/2015,1.0,631629.0
135,6/2015,1.0,631709.0
136,6/2015,2.0,631787.0
137,6/2015,2.0,631860.0
138,6/2015,2.0,631936.0
139,6/2015,2.0,632024.0
140,6/2015,2.0,632124.0
141,6/2015,2.0,632229.0
142,6/2015,2.0,632343.0
143,6/2015,2.0,632464.0
144,6/2015,2.0,632587.0
145,6/2015,2.0,632706.0
146,6/2015,2.0,632824.0
147,6/2015,2.0,632945.0
148,6/2015,2.0,633057.0
149,6/2015,2.0,633164.0
150,6/2015,2.0,633272.0
151,6/2015,2.0,633382.0
152,6/2015,2.0,633489.0
153,6/2015,3.0,633587.0
154,6/2015,3.0,633677.0
155,6/2015,3.0,633759.0
156,6/2015,3.0,633838.0
157,6/2015,3.0,633914.0
158,6/2015,3.0,633990.0
159,6/2015,3.0,634066.0
160,6/2015,3.0,634144.0
161,6/2015,3.0,634221.0
162,6/2015,3.0,634296.0
163,6/2015,3.0,634369.0
164,6/2015,3.0,634439.0
165,6/2015,3.0,634509.0
166,6/2015,3.0,634575.0
167,6/2015,3.0,634639.0
168,6/2015,3.0,634698.0
169,6/2015,3.0,634751.0
170,6/2015,1.0,634845.0
171,6/2015,1.0,634914.0
172,6/2015,1.0,634991.0
173,6/2015,1.0,635072.0
174,6/2015,1.0,635170.0
175,6/2015,1.0,635273.0
176,6/2015,1.0,635378.0
177,6/2015,1.0,635485.0
178,6/2015,1.0,635592.0
179,6/2015,1.0,635696.0
180,6/2015,1.0,635796.0
181,6/2015,1.0,635892.0
182,6/2015,1.0,635986.0
183,6/2015,1.0,636082.0
184,6/2015,1.0,636180.0
185,6/2015,1.0,636272.0
186,6/2015,1.0,636355.0
187,6/2015,2.0,636432.0
188,6/2015,2.0,636508.0
189,6/2015,2.0,636585.0
190,6/2015,2.0,636666.0
191,6/2015,2.0,636762.0
192,6/2015,2.0,636868.0
193,6/2015,2.0,636975.0
194,6/2015,2.0,637083.0
195,6/2015,2.0,637186.0
196,6/2015,2.0,637286.0
197,6/2015,2.0,637394.0
198,6/2015,2.0,637504.0
199,6/2015,2.0,637607.0
200,6/2015,2.0,637710.0
201,6/2015,2.0,637811.0
202,6/2015,2.0,637907.0
203,6/2015,2.0,637998.0
204,6/2015,3.0,638082.0
205,6/2015,3.0,638158.0
206,6/2015,3.0,638231.0
207,6/2015,3.0,638294.0
208,6/2015,3.0,638360.0
209,6/2015,3.0,638425.0
210,6/2015,3.0,638491.0
211,6/2015,3.0,638562.0
212,6/2015,3.0,638636.0
213,6/2015,3.0,638709.0
214,6/2015,3.0,638779.0
215,6/2015,3.0,638853.0
216,6/2015,3.0,638921.0
217,6/2015,3.0,638986.0
218,6/2015,3.0,639052.0
219,6/2015,3.0,639109.0
220,6/2015,3.0,639164.0
221,6/2015,1.0,639229.0
222,6/2015,1.0,639292.0
223,6/2015,1.0,639369.0
224,6/2015,1.0,639451.0
225,6/2015,1.0,639535.0
226,6/2015,1.0,639622.0
227,6/2015,1.0,639711.0
228,6/2015,1.0,639802.0
229,6/2015,1.0,639900.0
230,6/2015,1.0,639998.0
231,6/2015,1.0,640098.0
232,6/2015,1.0,640197.0
233,6/2015,1.0,640296.0
234,6/2015,1.0,640398.0
235,6/2015,1.0,640501.0
236,6/2015,1.0,640600.0
237,6/2015,1.0,640700.0
238,6/2015,1.0,640788.0
239,6/2015,2.0,640872.0
240,6/2015,2.0,640949.0
241,6/2015,2.0,641024.0
242,6/2015,2.0,641103.0
243,6/2015,2.0,641189.0
244,6/2015,2.0,641284.0
245,6/2015,2.0,641387.0
246,6/2015,2.0,641491.0
247,6/2015,2.0,641595.0
248,6/2015,2.0,641703.0
249,6/2015,2.0,641807.0
250,6/2015,2.0,641902.0
251,6/2015,2.0,642001.0
252,6/2015,3.0,642099.0
253,6/2015,3.0,642192.0
254,6/2015,3.0,642282.0
255,6/2015,3.0,642360.0
256,6/2015,3.0,642432.0
257,6/2015,3.0,642510.0
258,6/2015,3.0,642587.0
259,6/2015,3.0,642665.0
260,6/2015,3.0,642739.0
261,6/2015,3.0,642812.0
262,6/2015,3.0,642886.0
263,6/2015,3.0,642958.0
264,6/2015,3.0,643027.0
265,6/2015,3.0,643090.0
266,6/2015,3.0,643153.0
267,6/2015,3.0,643213.0
268,6/2015,3.0,643271.0
269,6/2015,3.0,643327.0
270,6/2015,1.0,643414.0
271,6/2015,1.0,643487.0
272,6/2015,1.0,643567.0
273,6/2015,1.0,643654.0
274,6/2015,1.0,643742.0
275,6/2015,1.0,643825.0
276,6/2015,1.0,643910.0
277,6/2015,1.0,643993.0
278,6/2015,1.0,644078.0
279,6/2015,1.0,644167.0
280,6/2015,1.0,644258.0
281,6/2015,1.0,644349.0
282,6/2015,1.0,644438.0
283,6/2015,1.0,644527.0
284,6/2015,1.0,644615.0
285,6/2015,1.0,644699.0
286,6/2015,2.0,644771.0
287,6/2015,2.0,644842.0
288,6/2015,2.0,644915.0
289,6/2015,2.0,644989.0
290,6/2015,2.0,645069.0
291,6/2015,2.0,645144.0
292,6/2015,2.0,645226.0
293,6/2015,2.0,645314.0
294,6/2015,2.0,645400.0
295,6/2015,2.0,645491.0
296,6/2015,2.0,645579.0
297,6/2015,2.0,645669.0
298,6/2015,2.0,645757.0
299,6/2015,2.0,645841.0
300,6/2015,2.0,645920.0
301,6/2015,2.0,646000.0
302,6/2015,2.0,646075.0
303,6/2015,3.0,646148.0
304,6/2015,3.0,646222.0
305,6/2015,3.0,646293.0
306,6/2015,3.0,646375.0
307,6/2015,3.0,646456.0
308,6/2015,3.0,646532.0
309,6/2015,3.0,646604.0
310,6/2015,3.0,646675.0
311,6/2015,3.0,646740.0
312,6/2015,3.0,646804.0
313,6/2015,3.0,646869.0
314,6/2015,3.0,646938.0
315,6/2015,3.0,647004.0
316,6/2015,3.0,647067.0
317,6/2015,3.0,647125.0
318,6/2015,3.0,647180.0
319,6/2015,3.0,647235.0
320,6/2015,,647289.0
321,6/2015,,647341.0
322,6/2015,,647390.0
323,6/2015,,647437.0
324,6/2015,,647486.0
325,6/2015,,647546.0
326,6/2015,,647613.0
327,6/2015,,647686.0
328,6/2015,,647759.0
329,6/2015,,647830.0
330,6/2015,,647903.0
331,6/2015,,647976.0
332,6/2015,,648047.0
333,6/2015,2.0,648117.0
334,6/2015,2.0,648184.0
335,6/2015,2.0,648248.0
336,6/2015,2.0,648313.0
337,6/2015,2.0,648379.0
338,6/2015,2.0,648443.0
339,6/2015,2.0,648506.0
340,6/2015,2.0,648570.0
341,6/2015,2.0,648634.0
342,6/2015,2.0,648697.0
343,6/2015,2.0,648761.0
344,6/2015,2.0,648822.0
345,6/2015,2.0,648882.0
346,6/2015,2.0,648942.0
347,6/2015,2.0,649006.0
348,6/2015,2.0,649069.0
349,6/2015,2.0,649133.0
350,6/2015,2.0,649195.0
351,6/2015,2.0,649258.0
352,6/2015,2.0,649321.0
353,6/2015,2.0,649382.0
354,6/2015,2.0,649441.0
355,6/2015,2.0,649502.0
356,6/2015,2.0,649562.0
357,6/2015,2.0,649624.0
358,6/2015,2.0,649683.0
359,6/2015,2.0,649744.0
360,6/2015,2.0,649804.0
361,6/2015,2.0,649869.0
362,6/2015,2.0,649932.0
363,6/2015,2.0,649990.0
364,6/2015,2.0,650049.0
365,6/2015,2.0,650106.0
366,6/2015,2.0,650169.0
367,6/2015,1.0,650236.0
368,6/2015,1.0,650308.0
369,6/2015,1.0,650384.0
370,6/2015,1.0,650464.0
371,6/2015,1.0,650562.0
372,6/2015,1.0,650675.0
373,6/2015,1.0,650763.0
374,6/2015,1.0,650832.0
375,6/2015,1.0,650905.0
376,6/2015,1.0,650989.0
377,6/2015,1.0,651069.0
378,6/2015,1.0,651152.0
379,6/2015,1.0,651236.0
380,6/2015,1.0,651324.0
381,6/2015,1.0,651414.0
382,6/2015,1.0,651503.0
383,6/2015,1.0,651592.0
384,6/2015,1.0,651677.0
385,6/2015,1.0,651766.0
386,6/2015,1.0,651850.0
387,6/2015,1.0,651934.0
388,6/2015,1.0,652016.0
389,6/2015,2.0,652092.0
390,6/2015,2.0,652169.0
391,6/2015,2.0,652245.0
392,6/2015,2.0,652320.0
393,6/2015,2.0,652400.0
394,6/2015,2.0,652486.0
395,6/2015,2.0,652578.0
396,6/2015,2.0,652673.0
397,6/2015,2.0,652766.0
398,6/2015,2.0,652859.0
399,6/2015,2.0,652946.0
400,6/2015,2.0,653035.0
401,6/2015,2.0,653123.0
402,6/2015,2.0,653207.0
403,6/2015,2.0,653289.0
404,6/2015,2.0,653372.0
405,6/2015,2.0,653455.0
406,6/2015,3.0,653532.0
407,6/2015,3.0,653608.0
408,6/2015,3.0,653683.0
409,6/2015,3.0,653762.0
410,6/2015,3.0,653838.0
411,6/2015,3.0,653911.0
412,6/2015,3.0,653981.0
413,6/2015,3.0,654052.0
414,6/2015,3.0,654122.0
415,6/2015,3.0,654195.0
416,6/2015,3.0,654271.0
417,6/2015,3.0,654347.0
418,6/2015,3.0,654418.0
419,6/2015,3.0,654483.0
420,6/2015,3.0,654540.0
421,6/2015,3.0,654597.0
422,6/2015,3.0,654651.0
423,6/2015,,654705.0
424,6/2015,,654759.0
425,6/2015,1.0,654776.0
426,6/2015,1.0,654846.0
427,6/2015,1.0,654930.0
428,6/2015,1.0,655017.0
429,6/2015,1.0,655110.0
430,6/2015,1.0,655204.0
431,6/2015,1.0,655299.0
432,6/2015,1.0,655404.0
433,6/2015,1.0,655510.0
434,6/2015,1.0,655620.0
435,6/2015,1.0,655729.0
436,6/2015,1.0,655839.0
437,6/2015,1.0,655946.0
438,6/2015,1.0,656048.0
439,6/2015,1.0,656149.0
440,6/2015,1.0,656244.0
441,6/2015,1.0,656338.0
442,6/2015,1.0,656425.0
443,6/2015,1.0,656504.0
444,6/2015,2.0,656550.0
445,6/2015,2.0,656647.0
446,6/2015,2.0,656756.0
447,6/2015,2.0,656867.0
448,6/2015,2.0,656983.0
449,6/2015,2.0,657097.0
450,6/2015,2.0,657206.0
451,6/2015,2.0,657314.0
452,6/2015,2.0,657415.0
453,6/2015,2.0,657512.0
454,6/2015,2.0,657614.0
455,6/2015,2.0,657715.0
456,6/2015,2.0,657812.0
457,6/2015,3.0,657900.0
458,6/2015,3.0,657983.0
459,6/2015,3.0,658055.0
460,6/2015,3.0,658129.0
461,6/2015,3.0,658204.0
462,6/2015,3.0,658276.0
463,6/2015,3.0,658347.0
464,6/2015,3.0,658417.0
465,6/2015,3.0,658484.0
466,6/2015,3.0,658552.0
467,6/2015,3.0,658619.0
468,6/2015,3.0,658690.0
469,6/2015,3.0,658761.0
470,6/2015,3.0,658829.0
471,6/2015,3.0,658888.0
472,6/2015,3.0,658944.0
473,6/2015,3.0,658997.0
474,6/2015,1.0,659045.0
475,6/2015,1.0,659085.0
476,6/2015,1.0,659138.0
477,6/2015,1.0,659200.0
478,6/2015,1.0,659264.0
479,6/2015,1.0,659332.0
480,6/2015,1.0,659404.0
481,6/2015,1.0,659493.0
482,6/2015,1.0,659583.0
483,6/2015,1.0,659680.0
484,6/2015,1.0,659778.0
485,6/2015,1.0,659874.0
486,6/2015,1.0,659966.0
487,6/2015,1.0,660056.0
488,6/2015,1.0,660147.0
489,6/2015,1.0,660228.0
490,6/2015,1.0,660306.0
491,6/2015,1.0,660389.0
492,6/2015,1.0,660471.0
493,6/2015,1.0,660550.0
494,6/2015,2.0,660628.0
495,6/2015,2.0,660704.0
496,6/2015,2.0,660783.0
497,6/2015,2.0,660861.0
498,6/2015,2.0,660944.0
499,6/2015,2.0,661030.0
500,6/2015,2.0,661118.0
501,6/2015,2.0,661205.0
502,6/2015,2.0,661295.0
503,6/2015,2.0,661382.0
504,6/2015,2.0,661471.0
505,6/2015,2.0,661557.0
506,6/2015,2.0,661644.0
507,6/2015,2.0,661734.0
508,6/2015,2.0,661824.0
509,6/2015,2.0,661915.0
510,6/2015,2.0,662003.0
511,6/2015,3.0,662089.0
512,6/2015,3.0,662170.0
513,6/2015,3.0,662248.0
514,6/2015,3.0,662323.0
515,6/2015,3.0,662398.0
516,6/2015,3.0,662467.0
517,6/2015,3.0,662535.0
518,6/2015,3.0,662604.0
519,6/2015,3.0,662670.0
520,6/2015,3.0,662740.0
521,6/2015,3.0,662810.0
522,6/2015,3.0,662879.0
523,6/2015,3.0,662946.0
524,6/2015,3.0,663011.0
525,6/2015,3.0,663071.0
526,6/2015,3.0,663124.0
527,6/2015,3.0,663177.0
528,6/2015,1.0,663242.0
529,6/2015,1.0,663295.0
530,6/2015,1.0,663355.0
531,6/2015,1.0,663418.0
532,6/2015,1.0,663483.0
533,6/2015,1.0,663555.0
534,6/2015,1.0,663630.0
535,6/2015,1.0,663718.0
536,6/2015,1.0,663806.0
537,6/2015,1.0,663895.0
538,6/2015,1.0,663988.0
539,6/2015,1.0,664078.0
540,6/2015,1.0,664165.0
541,6/2015,1.0,664244.0
542,6/2015,1.0,664322.0
543,6/2015,1.0,664401.0
544,6/2015,1.0,664478.0
545,6/2015,2.0,664548.0
546,6/2015,2.0,664617.0
547,6/2015,2.0,664678.0
548,6/2015,2.0,664746.0
549,6/2015,2.0,664826.0
550,6/2015,2.0,664910.0
551,6/2015,2.0,664994.0
552,6/2015,2.0,665080.0
553,6/2015,2.0,665162.0
554,6/2015,2.0,665246.0
555,6/2015,2.0,665328.0
556,6/2015,2.0,665411.0
557,6/2015,2.0,665489.0
558,6/2015,2.0,665567.0
559,6/2015,2.0,665645.0
560,6/2015,2.0,665714.0
561,6/2015,2.0,665780.0
562,6/2015,2.0,665844.0
563,6/2015,3.0,665916.0
564,6/2015,3.0,665986.0
565,6/2015,3.0,666047.0
566,6/2015,3.0,666106.0
567,6/2015,3.0,666161.0
568,6/2015,3.0,666220.0
569,6/2015,3.0,666305.0
570,6/2015,3.0,666390.0
571,6/2015,3.0,666474.0
572,6/2015,3.0,666557.0
573,6/2015,3.0,666640.0
574,6/2015,3.0,666724.0
575,6/2015,3.0,666810.0
576,6/2015,3.0,666890.0
577,6/2015,3.0,666967.0
578,6/2015,3.0,667038.0
579,6/2015,,667177.0
580,6/2015,,667248.0
581,6/2015,,667319.0
582,6/2015,,667386.0
583,6/2015,,667454.0
584,6/2015,,667518.0
585,6/2015,,667580.0
586,6/2015,,667642.0
587,6/2015,,667703.0
588,6/2015,,667762.0
589,6/2015,,667821.0
590,6/2015,,667880.0
591,6/2015,,667939.0
592,6/2015,2.0,667999.0
593,6/2015,2.0,668059.0
594,6/2015,2.0,668118.0
595,6/2015,2.0,668179.0
596,6/2015,2.0,668240.0
597,6/2015,2.0,668298.0
598,6/2015,2.0,668357.0
599,6/2015,2.0,668414.0
600,6/2015,2.0,668472.0
601,6/2015,2.0,668530.0
602,6/2015,2.0,668586.0
603,6/2015,2.0,668642.0
604,6/2015,2.0,668697.0
605,6/2015,2.0,668753.0
606,6/2015,2.0,668807.0
607,6/2015,2.0,668862.0
608,6/2015,2.0,668915.0
609,6/2015,2.0,668968.0
610,6/2015,2.0,669021.0
611,6/2015,2.0,669074.0
612,6/2015,2.0,669127.0
613,6/2015,2.0,669182.0
614,6/2015,2.0,669238.0
615,6/2015,2.0,669292.0
616,6/2015,2.0,669346.0
617,6/2015,2.0,669399.0
618,6/2015,2.0,669451.0
619,6/2015,2.0,669502.0
620,6/2015,2.0,669553.0
621,6/2015,2.0,669605.0
622,6/2015,2.0,669656.0
623,6/2015,2.0,669710.0
624,6/2015,2.0,669764.0
625,6/2015,2.0,669820.0
626,6/2015,1.0,669876.0
627,6/2015,1.0,669933.0
628,6/2015,1.0,669993.0
629,6/2015,1.0,670049.0
630,6/2015,1.0,670107.0
631,6/2015,1.0,670167.0
632,6/2015,1.0,670233.0
633,6/2015,1.0,670309.0
634,6/2015,1.0,670395.0
635,6/2015,1.0,670483.0
636,6/2015,1.0,670579.0
637,6/2015,1.0,670672.0
638,6/2015,1.0,670763.0
639,6/2015,1.0,670856.0
640,6/2015,1.0,670954.0
641,6/2015,1.0,671055.0
642,6/2015,1.0,671152.0
643,6/2015,1.0,671246.0
644,6/2015,1.0,671343.0
645,6/2015,1.0,671436.0
646,6/2015,1.0,671534.0
647,6/2015,2.0,671629.0
648,6/2015,2.0,671721.0
649,6/2015,2.0,671816.0
650,6/2015,2.0,671909.0
651,6/2015,2.0,672001.0
652,6/2015,2.0,672098.0
653,6/2015,2.0,672194.0
654,6/2015,2.0,672292.0
655,6/2015,2.0,672392.0
656,6/2015,2.0,672497.0
657,6/2015,2.0,672604.0
658,6/2015,2.0,672710.0
659,6/2015,2.0,672812.0
660,6/2015,2.0,672912.0
661,6/2015,2.0,673012.0
662,6/2015,2.0,673111.0
663,6/2015,2.0,673208.0
664,6/2015,3.0,673302.0
665,6/2015,3.0,673392.0
666,6/2015,3.0,673476.0
667,6/2015,3.0,673558.0
668,6/2015,3.0,673641.0
669,6/2015,3.0,673728.0
670,6/2015,3.0,673815.0
671,6/2015,3.0,673899.0
672,6/2015,3.0,673987.0
673,6/2015,3.0,674075.0
674,6/2015,3.0,674163.0
675,6/2015,3.0,674250.0
676,6/2015,3.0,674332.0
677,6/2015,3.0,674409.0
678,6/2015,3.0,674486.0
679,6/2015,3.0,674563.0
680,6/2015,3.0,674637.0
681,6/2015,,674712.0
682,6/2015,,674788.0
683,6/2015,,674865.0
684,6/2015,,674940.0
685,6/2015,,675013.0
686,6/2015,,675084.0
687,6/2015,,675156.0
688,6/2015,,675227.0
689,6/2015,,675294.0
690,6/2015,,675360.0
691,6/2015,,675424.0
692,6/2015,,675485.0
693,6/2015,,675549.0
694,6/2015,2.0,675611.0
695,6/2015,2.0,675673.0
696,6/2015,2.0,675732.0
697,6/2015,2.0,675789.0
698,6/2015,2.0,675849.0
699,6/2015,2.0,675907.0
700,6/2015,2.0,675963.0
701,6/2015,2.0,676020.0
702,6/2015,2.0,676077.0
703,6/2015,2.0,676133.0
704,6/2015,2.0,676187.0
705,6/2015,2.0,676245.0
706,6/2015,2.0,676302.0
707,6/2015,2.0,676360.0
708,6/2015,2.0,676417.0
709,6/2015,2.0,676473.0
710,6/2015,2.0,676530.0
711,6/2015,2.0,676585.0
712,6/2015,2.0,676638.0
713,6/2015,2.0,676692.0
714,6/2015,2.0,676745.0
715,6/2015,2.0,676799.0
716,6/2015,2.0,676852.0
717,6/2015,2.0,676906.0
718,6/2015,2.0,676957.0
719,6/2015,2.0,677008.0
720,6/2015,2.0,677060.0
721,6/2015,2.0,677112.0
722,6/2015,2.0,677163.0
723,6/2015,2.0,677213.0
724,6/2015,2.0,677264.0
725,6/2015,2.0,677316.0
726,6/2015,2.0,677370.0
727,6/2015,2.0,677427.0
728,6/2015,2.0,677480.0
729,6/2015,1.0,677533.0
730,6/2015,1.0,677584.0
731,6/2015,1.0,677633.0
732,6/2015,1.0,677681.0
733,6/2015,1.0,677725.0
734,6/2015,1.0,677772.0
735,6/2015,1.0,677818.0
736,6/2015,1.0,677866.0
737,6/2015,1.0,677914.0
738,6/2015,1.0,677965.0
739,6/2015,1.0,678020.0
740,6/2015,1.0,678077.0
741,6/2015,1.0,678138.0
742,6/2015,1.0,678212.0
743,6/2015,1.0,678239.0
744,6/2015,1.0,678300.0
745,6/2015,1.0,678367.0
746,6/2015,1.0,678439.0
747,6/2015,1.0,678511.0
748,6/2015,1.0,678580.0
749,6/2015,2.0,678649.0
750,6/2015,2.0,678717.0
751,6/2015,2.0,678780.0
752,6/2015,2.0,678843.0
753,6/2015,2.0,678908.0
754,6/2015,2.0,678972.0
755,6/2015,2.0,679037.0
756,6/2015,2.0,679102.0
757,6/2015,2.0,679165.0
758,6/2015,2.0,679231.0
759,6/2015,2.0,679296.0
760,6/2015,2.0,679363.0
761,6/2015,2.0,679427.0
762,6/2015,2.0,679496.0
763,6/2015,2.0,679564.0
764,6/2015,2.0,679630.0
765,6/2015,2.0,679697.0
766,6/2015,3.0,679763.0
767,6/2015,3.0,679831.0
768,6/2015,3.0,679904.0
769,6/2015,3.0,679976.0
770,6/2015,3.0,680046.0
771,6/2015,3.0,680118.0
772,6/2015,3.0,680191.0
773,6/2015,3.0,680266.0
774,6/2015,3.0,680341.0
775,6/2015,3.0,680416.0
776,6/2015,3.0,680495.0
777,6/2015,3.0,680573.0
778,6/2015,3.0,680654.0
779,6/2015,3.0,680734.0
780,6/2015,3.0,680812.0
781,6/2015,3.0,680888.0
782,6/2015,3.0,680962.0
783,6/2015,,681033.0
784,6/2015,,681103.0
785,6/2015,,681170.0
786,6/2015,,681237.0
787,6/2015,,681302.0
788,6/2015,,681364.0
789,6/2015,,681422.0
790,6/2015,,681481.0
791,6/2015,,681541.0
792,6/2015,,681601.0
793,6/2015,,681657.0
794,6/2015,,681713.0
795,6/2015,,681768.0
796,6/2015,2.0,681824.0
797,6/2015,2.0,681878.0
798,6/2015,2.0,681933.0
799,6/2015,2.0,681987.0
800,6/2015,2.0,682040.0
801,6/2015,2.0,682092.0
802,6/2015,2.0,682146.0
803,6/2015,2.0,682199.0
804,6/2015,2.0,682250.0
805,6/2015,2.0,682302.0
806,6/2015,2.0,682353.0
807,6/2015,2.0,682405.0
808,6/2015,2.0,682457.0
809,6/2015,2.0,682510.0
810,6/2015,2.0,682561.0
811,6/2015,2.0,682614.0
812,6/2015,2.0,682667.0
813,6/2015,2.0,682719.0
814,6/2015,2.0,682780.0
815,6/2015,2.0,682841.0
816,6/2015,2.0,682903.0
817,6/2015,2.0,682963.0
818,6/2015,2.0,683023.0
819,6/2015,2.0,683082.0
820,6/2015,2.0,683137.0
821,6/2015,2.0,683191.0
822,6/2015,2.0,683248.0
823,6/2015,2.0,683301.0
824,6/2015,2.0,683355.0
825,6/2015,2.0,683409.0
826,6/2015,2.0,683463.0
827,6/2015,2.0,683520.0
828,6/2015,2.0,683576.0
829,6/2015,2.0,683633.0
830,6/2015,1.0,683699.0
831,6/2015,1.0,683776.0
832,6/2015,1.0,683863.0
833,6/2015,1.0,683976.0
834,6/2015,1.0,684060.0
835,6/2015,1.0,684142.0
836,6/2015,1.0,684232.0
837,6/2015,1.0,684323.0
838,6/2015,1.0,684409.0
839,6/2015,1.0,684493.0
840,6/2015,1.0,684577.0
841,6/2015,1.0,684665.0
842,6/2015,1.0,684754.0
843,6/2015,1.0,684847.0
844,6/2015,1.0,684940.0
845,6/2015,1.0,685031.0
846,6/2015,1.0,685127.0
847,6/2015,1.0,685229.0
848,6/2015,1.0,685328.0
849,6/2015,1.0,685422.0
850,6/2015,1.0,685507.0
851,6/2015,1.0,685581.0
852,6/2015,2.0,685652.0
853,6/2015,2.0,685719.0
854,6/2015,2.0,685789.0
855,6/2015,2.0,685867.0
856,6/2015,2.0,685955.0
857,6/2015,2.0,686050.0
858,6/2015,2.0,686152.0
859,6/2015,2.0,686256.0
860,6/2015,2.0,686358.0
861,6/2015,2.0,686455.0
862,6/2015,2.0,686548.0
863,6/2015,2.0,686636.0
864,6/2015,2.0,686728.0
865,6/2015,2.0,686824.0
866,6/2015,2.0,686926.0
867,6/2015,2.0,687025.0
868,6/2015,2.0,687121.0
869,6/2015,3.0,687214.0
870,6/2015,3.0,687303.0
871,6/2015,3.0,687388.0
872,6/2015,3.0,687469.0
873,6/2015,3.0,687542.0
874,6/2015,3.0,687616.0
875,6/2015,3.0,687690.0
876,6/2015,3.0,687763.0
877,6/2015,3.0,687839.0
878,6/2015,3.0,687911.0
879,6/2015,3.0,687980.0
880,6/2015,3.0,688049.0
881,6/2015,3.0,688114.0
882,6/2015,3.0,688177.0
883,6/2015,3.0,688235.0
884,6/2015,3.0,688291.0
